_id,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,extra_people,guests_included,review_scores,cleaning_fee,host_response_time,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,host_total_listings_count,market,country,longitude,latitude,is_location_exact,availability_30,availability_60,availability_90,availability_365
21526718,Apartment,Entire home/apt,Real Bed,2,30,flexible,4,1,2,5,1,60,10,2,80,0,within an hour,100.0,No,Yes,No,8,8,Porto,Portugal,-8.61166,41.15184,No,29,59,89,355
21541451,Condominium,Entire home/apt,Real Bed,1,31,moderate,4,0,2,43,1,89,0,1,88,100,within an hour,99.0,No,Yes,No,92,92,Oahu,United States,-157.82482,21.27579,Yes,6,28,43,250
21544362,Apartment,Entire home/apt,Real Bed,7,1125,strict_14_with_grace_period,2,1,1,17,1,424,0,1,88,150,within an hour,100.0,No,Yes,Yes,2,2,Hong Kong,Hong Kong,114.18319,22.28099,No,5,13,31,238
21612973,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2,1,1,57,1,90,0,1,98,0,within an hour,100.0,Yes,Yes,No,2,2,Sydney,Australia,151.27924,-33.79599,Yes,7,19,19,19
21684913,House,Entire home/apt,Real Bed,7,1125,flexible,4,2,3,1,2,343,0,1,100,320,within a day,92.0,No,Yes,Yes,34,34,Sydney,Australia,151.2698,-33.89855,Yes,30,60,90,91
21795489,Apartment,Entire home/apt,Real Bed,1,7,flexible,5,2,2,21,1,31,20,2,98,0,within a few hours,100.0,Yes,Yes,No,1,1,Porto,Portugal,-8.6102,41.11905,No,0,0,0,0
21819120,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2,0,1,41,1,589,0,1,91,250,within an hour,97.0,No,Yes,Yes,6,6,Hong Kong,Hong Kong,114.16976,22.32301,Yes,17,47,77,167
21832585,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,3,1,2,53,1,369,0,1,92,0,within an hour,100.0,No,Yes,No,8,8,Hong Kong,Hong Kong,114.17082,22.31445,No,18,48,78,353
21842463,Aparthotel,Private room,Real Bed,1,30,strict_14_with_grace_period,4,1,3,0,1,211,101,2,0,0,within a day,100.0,No,Yes,Yes,24,24,Istanbul,Turkey,28.97784,41.03702,Yes,12,42,72,292
21844107,House,Private room,Real Bed,5,1125,strict_14_with_grace_period,2,4,1,0,1,1201,200,2,0,200,within a few hours,100.0,No,Yes,No,22,22,Hong Kong,Hong Kong,114.28646,22.30479,No,27,57,87,177
